Name_product,New_price,Old_proce,Deal,Gift_detail,Number_of_review,Link_product
Samsung Galaxy Z Fold5 12GB 512GB - 1 Đổi 1 12 Tháng,"24,990,000 ₫","44,990,000 ₫",44%,,(45 đánh giá),https://clickbuy.com.vn/samsung-galaxy-z-fold5-12gb-512gb-chinh-hang.html
iPhone 16 256GB Chính Hãng VN/A,"22,190,000 ₫","25,990,000 ₫",15%,,(45 đánh giá),https://clickbuy.com.vn/iphone-16-256gb.html
iPhone 16 Plus 256GB Chính Hãng VN/A,"24,890,000 ₫",,0%,,(46 đánh giá),https://clickbuy.com.vn/iphone-16-plus-256gb.html
iPhone 11 64GB chính hãng VN/A - Tặng BH rơi vỡ vào nước,"8,790,000 ₫","14,990,000 ₫",41%,,(505 đánh giá),https://clickbuy.com.vn/apple-iphone-11-64gb-chinh-hang-vn-a.html
Oscal Tiger 12 12GB 256GB - 1 Đổi 1 12 Tháng,"3,090,000 ₫","4,590,000 ₫",28%,"Học sinh, sinh viên giảm thêm",(8 đánh giá),https://clickbuy.com.vn/oscal-tiger-12.html
iPhone 12 64GB Chính hãng VN/A - Tặng BH rơi vỡ vào nước,"9,990,000 ₫","14,990,000 ₫",33%,,(157 đánh giá),https://clickbuy.com.vn/apple-iphone-12-64gb-chinh-hang-vn-a.html
Xiaomi Redmi 13 (4G) 6GB 128GB - 1 Đổi 1 12 Tháng ,"3,390,000 ₫","4,990,000 ₫",32%,,(97 đánh giá),https://clickbuy.com.vn/redmi-13-chinh-hang.html
Xiaomi Redmi Note 14 (5G) 8GB 256GB - 1 Đổi 1 12 Tháng,"6,390,000 ₫","7,290,000 ₫",10%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(22 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note-14-5g-chinh-hang.html
Xiaomi Redmi A3 - 1 Đổi 1 12 Tháng,"1,890,000 ₫","2,990,000 ₫",37%,,(66 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-a3-3gb-64gb-chinh-hang.html
TECNO POVA 6 NEO (8+8/128GB) - 1 Đổi 1 12 Tháng,"3,690,000 ₫","4,590,000 ₫",15%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(49 đánh giá),https://clickbuy.com.vn/tecno-pova-6neo.html
Realme C65s 8GB 256GB - 1 Đổi 1 12 Tháng,"4,790,000 ₫","5,290,000 ₫",9%,,(17 đánh giá),https://clickbuy.com.vn/realme-c65s-chinh-hang.html
Samsung Galaxy A26 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,"5,990,000 ₫","6,990,000 ₫",11%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(20 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a26.html
